gravedad,fecha,a_o,hora,jornada,dia_semana,barrios_corregimiento_via,direccion,zona,autoridad,lat,long,condicion_de_la_victima,clase_de_siniestro,genero,lesionado,homicidios,clinica,clase_vehiculo,marca,tipo_de_servicio,empresa
HERIDOS,2021-02-15T00:00:00.000,2021,,MAÑANA,LUNES,RECREO,CALLE 22 CARRERA 27,URBANA,TECNICO,"3,52014","-76,29908",MOTOCICLISTA,CHOQUE POSTE,MASCULINO,1,NO APLICA,PALMIRA,AUTOMOVIL,SUZUKI,PARTICULAR,NO APLICA
HERIDOS,2021-02-15T00:00:00.000,2021,,MAÑANA,LUNES,RECREO,CALLE 22 CARRERA 27,URBANA,TECNICO,"3,52014","-76,29908",NO APLICA,ATROPELLO,MASCULINO,NO APLICA,NO APLICA,PALMIRA,AUTOMOVIL,HYUNDAI,PUBLICO,VILLA DE LAS PALMAS
DAÑOS,2021-02-14T00:00:00.000,2021,,MAÑANA,DOMINGO,AEROPUERTO PALMIRA,MUELLE 2,RURAL,TECNICO,"3,53518","-76,38814",NO APLICA,CHOQUE SEÑAL,MASCULINO,NO APLICA,NO APLICA,NO APLICA,MOTO,RENAULT,PARTICULAR,NO APLICA
DAÑOS,2021-02-14T00:00:00.000,2021,,MAÑANA,DOMINGO,AEROPUERTO PALMIRA,MUELLE 2,RURAL,TECNICO,"3,53518","-76,38814",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,MOTO,BAJAJ,PARTICULAR,NO APLICA
HERIDOS,2021-02-16T00:00:00.000,2021,,MAÑANA,MARTES,SAMANES,CALLE 47 CARRERA 30B-10,URBANA,TECNICO,"3,5423","-76,29853",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,CAMIONETA,TOYOTA,PARTICULAR,NO APLICA
HERIDOS,2021-02-16T00:00:00.000,2021,,MAÑANA,MARTES,SAMANES,CALLE 47 CARRERA 30B-10,URBANA,TECNICO,"3,5423","-76,29853",CICLISTA,CHOQUE,MASCULINO,1,NO APLICA,PALMA,BICICLETA,NO APLICA,PARTICULAR,NO APLICA
DAÑOS,2021-02-16T00:00:00.000,2021,,TARDE,MARTES,RECREO,CALLE 23 CARRERA 30,URBANA,TECNICO,"3,52131","-76,30176",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,CAMPERO,RENAULT,PARTICULAR,NO APLICA
DAÑOS,2021-02-16T00:00:00.000,2021,,TARDE,MARTES,RECREO,CALLE 23 CARRERA 30,URBANA,TECNICO,"3,52131","-76,30176",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,MOTO,YAMAHA,PARTICULAR,NO APLICA
HERIDOS,2021-02-17T00:00:00.000,2021,,MAÑANA,MIERCOLES,OBRERO,CALLE 36 CARRERA 26,URBANA,TECNICO,"3,53254","-76,29629",MOTOCICLISTA,CHOQUE,MASCULINO,1,NO APLICA,RAUL,MOTO,VICTORY,PARTICULAR,NO APLICA
HERIDOS,2021-02-17T00:00:00.000,2021,,MAÑANA,MIERCOLES,OBRERO,CALLE 36 CARRERA 26,URBANA,TECNICO,"3,53254","-76,29629",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,AUTOMOVIL,CHEVROLET,PARTICULAR,NO APLICA
DAÑOS,2021-02-16T00:00:00.000,2021,,TARDE,MARTES,MERCEDES,CARRERA 28 CALLE 56,URBANA,TECNICO,"3,54669","-76,29569",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,BUS,KIA,PUBLICO,FLOTA PALMIRA
DAÑOS,2021-02-16T00:00:00.000,2021,,TARDE,MARTES,MERCEDES,CARRERA 28 CALLE 56,URBANA,TECNICO,"3,54669","-76,29569",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,AUTOMOVIL,KIA,PUBLICO,TRASP UNITAX
HERIDOS,2021-02-18T00:00:00.000,2021,,MAÑANA,JUEVES,SANTA ISABEL,CARRERA 28 CALLE 44-100,URBANA,TECNICO,"3,53953","-76,2971",NO APLICA,ATROPELLO,MASCULINO,NO APLICA,NO APLICA,NO APLICA,AUTOMOVIL,RENAULT,PARTICULAR,NO APLICA
HERIDOS,2021-02-18T00:00:00.000,2021,,MAÑANA,JUEVES,SANTA ISABEL,CARRERA 28 CALLE 44-100,URBANA,TECNICO,"3,53953","-76,2971",PEATON,ATROPELLO,FEMENINA,1,NO APLICA,PALMA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
DAÑOS,2021-02-18T00:00:00.000,2021,,MAÑANA,JUEVES,TRINIDAD,CALLE 29 CARRERA 23,URBANA,TECNICO,"3,52553","-76,2949",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,AUTOMOVIL,HYUNDAI,PARTICULAR,NO APLICA
DAÑOS,2021-02-18T00:00:00.000,2021,,MAÑANA,JUEVES,TRINIDAD,CALLE 29 CARRERA 23,URBANA,TECNICO,"3,52553","-76,2949",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,MOTO,YAMAHA,PARTICULAR,NO APLICA
HERIDOS,2021-02-18T00:00:00.000,2021,,TARDE,JUEVES,CENTRO,CALLE 29 CARRERA 29,URBANA,TECNICO,"3,5262","-76,29994",MOTOCICLISTA,CHOQUE,MASCULINO,1,NO APLICA,PALMA,MOTO,HONDA,PARTICULAR,NO APLICA
HERIDOS,2021-02-18T00:00:00.000,2021,,TARDE,JUEVES,CENTRO,CALLE 29 CARRERA 29,URBANA,TECNICO,"3,5262","-76,29994",MOTOCICLISTA,CHOQUE,MASCULINO,1,NO APLICA,PALMA,MOTO,HERO,PARTICULAR,NO APLICA
DAÑOS,2021-02-19T00:00:00.000,2021,,MAÑANA,VIERNES,CENTRO,CALLE 27 CARRERA 33A,URBANA,TECNICO,"3,52518","-76,30452",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,CAMIONETA,MAZDA,PARTICULAR,NO APLICA
DAÑOS,2021-02-19T00:00:00.000,2021,,MAÑANA,VIERNES,CENTRO,CALLE 27 CARRERA 33A,URBANA,TECNICO,"3,52518","-76,30452",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,CAMIONETA,NISSAN,PARTICULAR,NO APLICA
DAÑOS,2021-02-19T00:00:00.000,2021,,TARDE,VIERNES,PRADO,CALLE 42 CARRERA 39-40,URBANA,TECNICO,"3,53897","-76,31023",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,MOTO,BAJAJ,PARTICULAR,NO APLICA
DAÑOS,2021-02-19T00:00:00.000,2021,,TARDE,VIERNES,PRADO,CALLE 42 CARRERA 39-40,URBANA,TECNICO,"3,53897","-76,31023",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,CAMIONETA,FORD,PARTICULAR,NO APLICA
HERIDOS,2021-02-19T00:00:00.000,2021,,NOCHE,VIERNES,SEMBRADOR,CALLE 19A TRASNVERSAL 16,URBANA,TECNICO,"3,51819","-76,28702",NO APLICA,ATROPELLO,MASCULINO,NO APLICA,NO APLICA,NO APLICA,MOTO,YAMAHA,PARTICULAR,NO APLICA
HERIDOS,2021-02-19T00:00:00.000,2021,,NOCHE,VIERNES,SEMBRADOR,CALLE 19A TRASNVERSAL 16,URBANA,TECNICO,"3,51819","-76,28702",PEATON,ATROPELLO,FEMENINA,1,NO APLICA,PALMIRA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
HERIDOS,2021-02-20T00:00:00.000,2021,,MAÑANA,SABADO,RECREO,CALLE 20 CARRERA 27,URBANA,TECNICO,"3,51853","-76,29931",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,AUTOMOVIL,DAEWOO,PUBLICO,COOTRANSPAL
HERIDOS,2021-02-20T00:00:00.000,2021,,MAÑANA,SABADO,RECREO,CALLE 20 CARRERA 27,URBANA,TECNICO,"3,51853","-76,29931",MOTOCICLISTA,CHOQUE,FEMENINA,1,NO APLICA,SANTA BARBARA,MOTO,VICTORY,PARTICULAR,NO APLICA
HERIDOS,2021-02-20T00:00:00.000,2021,,TARDE,SABADO,CENTRO,CALLE 32 CARRERA 26,URBANA,TECNICO,"3,52844","-76,29699",MOTOCICLISTA,CHOQUE,MASCULINO,1,NO APLICA,PALMIRA,MOTO,HERO,PARTICULAR,NO APLICA
HERIDOS,2021-02-20T00:00:00.000,2021,,TARDE,SABADO,CENTRO,CALLE 32 CARRERA 26,URBANA,TECNICO,"3,52844","-76,29699",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,AUTOMOVIL,CHEVROLET,PARTICULAR,NO APLICA
HERIDOS,2021-02-20T00:00:00.000,2021,,TARDE,SABADO,VIA PALMIRA TIENDA NUEVA,KM 5 + 600 MTS,RURAL,TECNICO,"3,54755","-76,26174",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,AUTOMOVIL,RENAULT,PARTICULAR,NO APLICA
HERIDOS,2021-02-20T00:00:00.000,2021,,TARDE,SABADO,VIA PALMIRA TIENDA NUEVA,KM 5 + 600 MTS,RURAL,TECNICO,"3,54755","-76,26174",MOTOCICLISTA,CHOQUE,MASCULINO,1,NO APLICA,PALMA,MOTO,BAJAJ,PARTICULAR,NO APLICA
HERIDOS,2021-02-20T00:00:00.000,2021,,NOCHE,SABADO,NUEVO,CARRERA 31 CALLE 18,URBANA,TECNICO,"3,51709","-76,30347",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,AUTOMOVIL,CHEVROLET,PARTICULAR,NO APLICA
HERIDOS,2021-02-20T00:00:00.000,2021,,NOCHE,SABADO,NUEVO,CARRERA 31 CALLE 18,URBANA,TECNICO,"3,51709","-76,30347",MOTOCICLISTA,CHOQUE,MASCULINO,1,NO APLICA,PALMIRA,MOTO,SUZUKI,PARTICULAR,NO APLICA
HERIDOS,2021-02-20T00:00:00.000,2021,,NOCHE,SABADO,NUEVO,CARRERA 31 CALLE 18,URBANA,TECNICO,"3,51709","-76,30347",ACOMPAÑANTE MOTOCICLISTA,CHOQUE,MASCULINO,1,NO APLICA,PALMIRA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
HERIDOS,2021-02-21T00:00:00.000,2021,,MADRUGADA,DOMINGO,EMILIA,CALLE 33 CARRERA 37-69,URBANA,TECNICO,"3,53103","-76,30707",CONDUCTOR,CHOQUE OBJETO FIJO,FEMENINA,1,NO APLICA,PALMIRA,CAMIONETA,JAC,PARTICULAR,NO APLICA
MUERTO,2021-02-19T00:00:00.000,2021,,TARDE,VIERNES,CENTRO,CALLE 30 CARRERA 28,URBANA,TECNICO,"3,527","-76,29892",PEATON,CHOQUE,MASCULINO,NO APLICA,1,NO APLICA,BICICLETA,NO APLICA,PARTICULAR,NO APLICA
MUERTO,2021-02-19T00:00:00.000,2021,,NOCHE,VIERNES,VIA CENCAR - AEROPUERTO,KM 2 + 450 MTS,RURAL,POLICIA,"3,5547","-76,47201",CONDUCTOR,CHOQUE OBJETO FIJO,MASCULINO,NO APLICA,1,NO APLICA,AUTOMOVIL,NO APLICA,PARTICULAR,NO APLICA
MUERTO,2021-02-21T00:00:00.000,2021,,MAÑANA,DOMINGO,CHAPINERO SUR,VIA PALMIRA BOLO CEMENTERIO JARDINES,URBANA,TECNICO,"3,50075","-76,31817",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,CAMIONETA,NISSAN,PARTICULAR,NO APLICA
MUERTO,2021-02-21T00:00:00.000,2021,,MAÑANA,DOMINGO,CHAPINERO SUR,VIA PALMIRA BOLO CEMENTERIO JARDINES,URBANA,TECNICO,"3,50075","-76,31817",MOTOCICLISTA,CHOQUE,MASCULINO,NO APLICA,1,NO APLICA,MOTO,HONDA,PARTICULAR,NO APLICA
HERIDOS,2021-02-21T00:00:00.000,2021,,TARDE,DOMINGO,URIBE,CALLE 35 CARRERA 20,URBANA,TECNICO,"3,53111","-76,2916",MOTOCICLISTA,CHOQUE,MASCULINO,1,NO APLICA,PALMA,MOTO,YAMAHA,PARTICULAR,NO APLICA
HERIDOS,2021-02-21T00:00:00.000,2021,,TARDE,DOMINGO,URIBE,CALLE 35 CARRERA 20,URBANA,TECNICO,"3,53111","-76,2916",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,CAMPERO,FORD,PARTICULAR,NO APLICA
HERIDOS,2021-02-21T00:00:00.000,2021,,TARDE,DOMINGO,CRISTALES,CALLE 44 CARRERA 6EA-18,URBANA,TECNICO,"3,54024","-76,28152",NO APLICA,ATROPELLO,MASCULINO,NO APLICA,NO APLICA,NO APLICA,MOTO,SUZUKI,PARTICULAR,NO APLICA
HERIDOS,2021-02-21T00:00:00.000,2021,,TARDE,DOMINGO,CRISTALES,CALLE 44 CARRERA 6EA-18,URBANA,TECNICO,"3,54024","-76,28152",ACOMPAÑANTE MOTOCICLISTA,ATROPELLO,FEMENINA,1,NO APLICA,PALMA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
HERIDOS,2021-02-21T00:00:00.000,2021,,TARDE,DOMINGO,CRISTALES,CALLE 44 CARRERA 6EA-18,URBANA,TECNICO,"3,54024","-76,28152",PEATON,ATROPELLO,FEMENINA,1,NO APLICA,PALMA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
DAÑOS,2021-02-21T00:00:00.000,2021,,NOCHE,DOMINGO,CENTRO,CALLE 28 CARRERA 28,URBANA,TECNICO,"3,5239","-76,2867",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,BUSETA,CHEVROLET,PUBLICO,TRANS GAVIOTA
DAÑOS,2021-02-21T00:00:00.000,2021,,NOCHE,DOMINGO,CENTRO,CALLE 28 CARRERA 28,URBANA,TECNICO,"3,5239","-76,2867",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,MOTO,SUZUKI,PARTICULAR,NO APLICA
DAÑOS,2021-02-21T00:00:00.000,2021,,TARDE,DOMINGO,COLOMBINA,CALLE 28 CARRERA 13,URBANA,TECNICO,"3,5239","-76,2867",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,AUTOMOVIL,KIA,PARTICULAR,NO APLICA
DAÑOS,2021-02-21T00:00:00.000,2021,,TARDE,DOMINGO,COLOMBINA,CALLE 28 CARRERA 13,URBANA,TECNICO,"3,5239","-76,2867",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,MOTO,HONDA,PARTICULAR,NO APLICA
DAÑOS,2021-02-21T00:00:00.000,2021,,TARDE,DOMINGO,PRADO,CALLE 36 CARRERA 40-41,URBANA,TECNICO,"3,53324","-76,31044",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,CAMIONETA,NISSAN,PARTICULAR,NO APLICA
DAÑOS,2021-02-21T00:00:00.000,2021,,TARDE,DOMINGO,PRADO,CALLE 36 CARRERA 40-41,URBANA,TECNICO,"3,53324","-76,31044",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,MOTO,HERO,PARTICULAR,NO APLICA
DAÑOS,2021-02-21T00:00:00.000,2021,,TARDE,DOMINGO,INDUSTRIAL,CALLE 42 CARRERA 34B-144,URBANA,TECNICO,"3,53883","-76,30505",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,AUTOMOVIL,CHEVROLET,PARTICULAR,NO APLICA
DAÑOS,2021-02-21T00:00:00.000,2021,,TARDE,DOMINGO,INDUSTRIAL,CALLE 42 CARRERA 34B-144,URBANA,TECNICO,"3,53883","-76,30505",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,CAMION,MERCEDES,PUBLICO,NO APLICA
HERIDOS,2021-02-21T00:00:00.000,2021,,NOCHE,DOMINGO,OBRERO,CALLE 35 CARRERA 24,URBANA,TECNICO,"3,53152","-76,29496",MOTOCICLISTA,CHOQUE,MASCULINO,1,NO APLICA,PALMIRA,MOTO,SUZUKI,PARTICULAR,NO APLICA
HERIDOS,2021-02-21T00:00:00.000,2021,,NOCHE,DOMINGO,OBRERO,CALLE 35 CARRERA 24,URBANA,TECNICO,"3,53152","-76,29496",MOTOCICLISTA,CHOQUE,MASCULINO,1,NO APLICA,PALMIRA,MOTO,BAJAJ,PARTICULAR,NO APLICA
HERIDOS,2021-02-22T00:00:00.000,2021,,MAÑANA,LUNES,CENTRO,CALLE 32 CARRERA 25,URBANA,TECNICO,"3,52847","-76,29609",MOTOCICLISTA,CHOQUE,FEMENINA,1,NO APLICA,PALMA,MOTO,VICTORY,PARTICULAR,NO APLICA
HERIDOS,2021-02-22T00:00:00.000,2021,,MAÑANA,LUNES,CENTRO,CALLE 32 CARRERA 25,URBANA,TECNICO,"3,52847","-76,29609",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,CAMIONETA,FOTON,PUBLICO,NO APLICA
HERIDOS,2021-02-22T00:00:00.000,2021,,TARDE,LUNES,JARDIN,CALLE 33F CARRERA 7,URBANA,TECNICO,"3,52964","-76,28122",MOTOCICLISTA,CHOQUE,MASCULINO,1,NO APLICA,FRACTURAS,MOTO,HONDA,PARTICULAR,NO APLICA
HERIDOS,2021-02-22T00:00:00.000,2021,,TARDE,LUNES,JARDIN,CALLE 33F CARRERA 7,URBANA,TECNICO,"3,52964","-76,28122",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,CAMPERO,CHEVROLET,PARTICULAR,NO APLICA
HERIDOS,2021-02-23T00:00:00.000,2021,,MAÑANA,MARTES,BENEDICTA,CALLE 47 CARRERA 34B-74,URBANA,TECNICO,"3,54258","-76,30392",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,AUTOMOVIL,CHEVROLET,PUBLICO,TRANS UNION TAXIS
HERIDOS,2021-02-23T00:00:00.000,2021,,MAÑANA,MARTES,BENEDICTA,CALLE 47 CARRERA 34B-74,URBANA,TECNICO,"3,54258","-76,30392",CICLISTA,CHOQUE,FEMENINA,1,NO APLICA,PALMA,BICICLETA,NO APLICA,PARTICULAR,NO APLICA
HERIDOS,2021-02-23T00:00:00.000,2021,,MAÑANA,MARTES,SIMON,CALLE 56 CARRERA 46,URBANA,TECNICO,"3,54642","-76,31757",MOTOCICLISTA,CHOQUE,MASCULINO,1,NO APLICA,PALMA,MOTO,YAMAHA,PARTICULAR,NO APLICA
HERIDOS,2021-02-23T00:00:00.000,2021,,MAÑANA,MARTES,SIMON,CALLE 56 CARRERA 46,URBANA,TECNICO,"3,54642","-76,31757",CICLISTA,CHOQUE,MASCULINO,1,NO APLICA,PALMA,BICICLETA,NO APLICA,PARTICULAR,NO APLICA
HERIDOS,2021-02-23T00:00:00.000,2021,,TARDE,MARTES,NUEVO,CARRERA 32 CALLE 26,URBANA,TECNICO,"3,52407","-76,30297",MOTOCICLISTA,CHOQUE,FEMENINA,1,NO APLICA,PALMA,MOTO,HONDA,PARTICULAR,NO APLICA
HERIDOS,2021-02-23T00:00:00.000,2021,,TARDE,MARTES,NUEVO,CARRERA 32 CALLE 26,URBANA,TECNICO,"3,52407","-76,30297",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,AUTOMOVIL,RENAULT,PARTICULAR,NO APLICA
HERIDOS,2021-02-23T00:00:00.000,2021,,TARDE,MARTES,NUEVO,CARRERA 32 CALLE 26,URBANA,TECNICO,"3,52407","-76,30297",ACOMPAÑANTE MOTOCICLISTA,CHOQUE,FEMENINA,1,NO APLICA,PALMA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
DAÑOS,2021-02-23T00:00:00.000,2021,,TARDE,MARTES,VERSALLES,CALLE 42 CARRERA 25-26,URBANA,TECNICO,"3,53768","-76,29494",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,CAMIONETA,CHEVROLET,PARTICULAR,NO APLICA
DAÑOS,2021-02-23T00:00:00.000,2021,,TARDE,MARTES,VERSALLES,CALLE 42 CARRERA 25-26,URBANA,TECNICO,"3,53768","-76,29494",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,CAMION,DODGE,PUBLICO,NO APLICA
DAÑOS,2021-02-25T00:00:00.000,2021,,MAÑANA,JUEVES,SANTA RITA,CARRERA 28 CALLE 38-16,URBANA,TECNICO,"3,53509","-76,29775",NO APLICA,OTRO,MASCULINO,NO APLICA,NO APLICA,NO APLICA,CAMION,HYUNDAI,PUBLICO,NO APLICA
DAÑOS,2021-02-24T00:00:00.000,2021,,TARDE,MIERCOLES,COLOMBIA,CALLE 33 CARRERA 29,URBANA,TECNICO,"3,53047","-76,29928",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,BUS,CHEVROLET,PUBLICO,NO APLICA
DAÑOS,2021-02-24T00:00:00.000,2021,,TARDE,MIERCOLES,COLOMBIA,CALLE 33 CARRERA 29,URBANA,TECNICO,"3,53047","-76,29928",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,AUTOMOVIL,HYUNDAI,PARTICULAR,NO APLICA
DAÑOS,2021-02-24T00:00:00.000,2021,,NOCHE,MIERCOLES,INDUSTRIAL,CALLE 42 CARRERA 35,URBANA,TECNICO,"3,53875","-76,30688",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,MOTO,AKT,PARTICULAR,NO APLICA
DAÑOS,2021-02-24T00:00:00.000,2021,,NOCHE,MIERCOLES,INDUSTRIAL,CALLE 42 CARRERA 35,URBANA,TECNICO,"3,53875","-76,30688",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,AUTOMOVIL,CHEVROLET,PARTICULAR,NO APLICA
DAÑOS,2021-02-26T00:00:00.000,2021,,MAÑANA,VIERNES,SANTA RITA,CALLE 33 CARRERA 28,URBANA,TECNICO,"3,53032","-76,29839",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,AUTOMOVIL,KIA,PARTICULAR,NO APLICA
DAÑOS,2021-02-25T00:00:00.000,2021,,TARDE,JUEVES,INDUSTRIAL,CALE 42 CARRERA 36-15,URBANA,TECNICO,"3,53904","-76,30805",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,AUTOMOVIL,RENAULT,PARTICULAR,NO APLICA
DAÑOS,2021-02-25T00:00:00.000,2021,,TARDE,JUEVES,INDUSTRIAL,CALE 42 CARRERA 36-15,URBANA,TECNICO,"3,53904","-76,30805",NO APLICA,CHOQUE,FEMENINA,NO APLICA,NO APLICA,NO APLICA,MOTO,KEEWAY,PARTICULAR,NO APLICA
DAÑOS,2021-02-25T00:00:00.000,2021,,TARDE,JUEVES,INDUSTRIAL,CALE 42 CARRERA 36-15,URBANA,TECNICO,"3,53904","-76,30805",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,MOTO,HONDA,PARTICULAR,NO APLICA
DAÑOS,2021-02-26T00:00:00.000,2021,,TARDE,VIERNES,RECREO,CALLE 18 CARRERA 26-27,URBANA,TECNICO,"3,51687","-76,29923",NO APLICA,CHOQUE,FEMENINA,NO APLICA,NO APLICA,NO APLICA,MOTO,KIMCO,PARTICULAR,NO APLICA
DAÑOS,2021-02-26T00:00:00.000,2021,,TARDE,VIERNES,RECREO,CALLE 18 CARRERA 26-27,URBANA,TECNICO,"3,51687","-76,29923",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,AUTOMOVIL,RENAULT,PARTICULAR,NO APLICA
DAÑOS,2021-02-26T00:00:00.000,2021,,TARDE,VIERNES,SANTA RITA,CALLE 36 CARRERA 27,URBANA,TECNICO,"3,5326","-76,29705",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,MOTO,HERO,PARTICULAR,NO APLICA
DAÑOS,2021-02-26T00:00:00.000,2021,,TARDE,VIERNES,SANTA RITA,CALLE 36 CARRERA 27,URBANA,TECNICO,"3,5326","-76,29705",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,MOTO,HONDA,PARTICULAR,NO APLICA
DAÑOS,2021-02-27T00:00:00.000,2021,,MAÑANA,SABADO,PRADO,CALLE 35 CARRERA 40-56,URBANA,TECNICO,"3,53232","-76,31013",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,CAMPERO,SUZUKI,PARTICULAR,NO APLICA
DAÑOS,2021-02-27T00:00:00.000,2021,,MAÑANA,SABADO,PRADO,CALLE 35 CARRERA 40-56,URBANA,TECNICO,"3,53232","-76,31013",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,AUTOMOVIL,CHEVROLET,PARTICULAR,NO APLICA
DAÑOS,2021-02-27T00:00:00.000,2021,,TARDE,SABADO,PATIO BONITO,CALLE 32 CARRERA 19,URBANA,TECNICO,"3,5278","-76,29109",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,CAMPERO,KIA,PARTICULAR,NO APLICA
DAÑOS,2021-02-27T00:00:00.000,2021,,TARDE,SABADO,PATIO BONITO,CALLE 32 CARRERA 19,URBANA,TECNICO,"3,5278","-76,29109",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,CAMIONETA,NISSAN,PARTICULAR,NO APLICA
DAÑOS,2021-02-27T00:00:00.000,2021,,TARDE,SABADO,INDUSTRIAL,CALLE 42 CARRERA 35,URBANA,TECNICO,"3,53898","-76,30652",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,MOTO,AKT,PARTICULAR,NO APLICA
DAÑOS,2021-02-27T00:00:00.000,2021,,TARDE,SABADO,INDUSTRIAL,CALLE 42 CARRERA 35,URBANA,TECNICO,"3,53898","-76,30652",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,AUTOMOVIL,HYUNDAI,PUBLICO,COOTRANSPAL
HERIDOS,2021-02-27T00:00:00.000,2021,,TARDE,SABADO,OBRERO,CARRERA 27 CALLE 34,URBANA,TECNICO,"3,53101","-76,2973",MOTOCICLISTA,CHOQUE,MASCULINO,1,NO APLICA,FRACTURAS,MOTO,HONDA,PARTICULAR,NO APLICA
HERIDOS,2021-02-27T00:00:00.000,2021,,TARDE,SABADO,OBRERO,CARRERA 27 CALLE 34,URBANA,TECNICO,"3,53101","-76,2973",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,AUTOMOVIL,RENAULT,PARTICULAR,NO APLICA
HERIDOS,2021-02-27T00:00:00.000,2021,,TARDE,SABADO,OBRERO,CARRERA 27 CALLE 34,URBANA,TECNICO,"3,53101","-76,2973",ACOMPAÑANTE MOTOCICLISTA,CHOQUE,FEMENINA,1,NO APLICA,FRACTURAS,NO APLICA,NO APLICA,NO APLICA,NO APLICA
DAÑOS,2021-02-28T00:00:00.000,2021,,NOCHE,DOMINGO,SAUSES,CARRERA 1 CALLE 32C,URBANA,TECNICO,"3,52806","-76,27739",NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,NO APLICA,AUTOMOVIL,CHEVROLET,PARTICULAR,NO APLICA
